DOING_BUSINESS_AS,FEIN,FIRST_NAME,LAST_NAME1,SSN_PLAIN,DOB,DOH,EMAIL_WORK,EMAIL_PERSONAL,DOT,INDIVIDUAL_EXT_ID,EMPLOYEE_EXT_ID,RECORDSTARTDATE,RECORDENDDATE,GENDER
"Acme Inc.",764141112,Javert,Burton,595-99-1234,19900815,20141205,jburton@example.com,,,417_417_10,417_10,20141205 04:12:09 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Church,Brewer,210-99-1234,19890311,20130821,cbrewer@example.com,,,417_417_3,417_2,20131219 04:12:28 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Anastasia,Chap,825-99-1234,19840101,20120428,achap@example.com,,,417_417_2,417_3,20131222 04:12:12 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Amy,Frank,578-99-1234,19770416,20130905,afrank@example.com,,,417_417_4,417_1,20131219 04:12:28 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Jonathan,Hall,722-99-1234,19831012,20150401,jhall@example.com, ,,417_417_5,417_7,20140401 07:12:49 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Burt,Love,139-99-1234,19671111,20120731,blove@example.com,,,417_417_6,417_8,20131219 04:12:28 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Morty,Lord,965-99-1234,19820606,20130422,mlord@example.com,,,417_417_7,417_5,20131220 07:12:54 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Carie,Livingston,651-99-1234,19911125,20130905,clivingston@example.com,,,417_417_8,417_6,20131219 04:12:29 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Brandy,Shepherd,540-99-1234,19721225,20141205,bshepherd@example.com,,,417_417_11,417_11,20141205 04:12:07 PM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Soren,White,670-99-1234,19790813,20090801,swhite@example.com, ,,417_417_1,417_4,20141210 12:12:38 AM,99991231 12:12:00 AM,male
"Acme Inc.",764141112,Taylor,York,001-99-1234,19851001,20130717,tyork@example.com,,,417_417_9,417_9,20131219 04:12:29 PM,99991231 12:12:00 AM,male
